Avg._Area_Income,Avg._Area_House_Age,Avg._Area_Number_of_Rooms,Avg._Area_Number_of_Bedrooms,Area_Population,Price,Address,Price_per_Bedroom
66422.92,7.12,7.08,6.36,31019.32,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602",213979.3
74334.49,5.42,6.26,4.12,41640.44,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483",330320.52
63538.35,4.76,7.17,3.27,43282.18,1146532.45,"10973 Clark Trafficway
Meyersbury, LA 63237",350621.54
83953.1,7.39,6.9,3.08,37283.36,1789098.52,"91733 Baker Orchard
South Kyle, KS 37301",580876.14
57279.06,5.12,6.56,3.17,44023.79,852099.46,"024 William Course
East Charlotteview, DE 69073-3104",268801.09
56553.55,5.69,7.02,3.15,29682.41,746096.73,"PSC 4455, Box 3268
APO AP 45454",236856.1
75795.58,5.79,7.33,6.25,33197.78,1534479.91,"562 Brown Junction Suite 282
Christopherborough, KS 20719",245516.79
70848.79,5.28,6.77,3.27,40458.74,1215608.53,"USCGC Thompson
FPO AA 13237-3887",371745.73
59787.4,5.65,6.59,3.43,32402.11,941594.33,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783",274517.3
64826.37,4.01,8.29,4.38,60286.04,1204598.04,"Unit 2139 Box 3667
DPO AP 49517",275022.38
65925.85,7.61,7.07,3.28,34171.36,1597655.26,"253 Golden Island
East Donald, CT 91882",487090.02
64419.25,6.95,8.52,6.16,39318.17,1492011.5,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205",242209.66
58544.46,8.56,7.28,4.28,30865.59,1421216.5,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398",332059.93
68791.79,4.73,6.7,4.11,48423.32,1132522.9,"2833 Townsend Cliffs
New Tommy, MP 86130-3426",275553.02
82061.57,4.18,5.96,4.1,36271.41,1102821.44,"708 Pena Ramp
Terryburgh, CA 31572-1304",268980.84
80659.53,5.44,7.1,6.24,52947.04,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684",297469.77
66668.09,6.18,7.86,3.35,47075.21,1687998.93,"Unit 3857 Box 9497
DPO AE 92239",503880.28
64721.56,5.68,6.97,4.48,36115.82,1063423.01,"042 Mitchell Mountains
Adamsview, OR 44424",237371.21
65199.99,6.45,6.94,3.2,28366.04,1177289.89,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759",367903.09
74579.99,4.64,5.52,3.07,42806.15,1173474.38,"38449 Shaw Glen
Pattonside, TX 98415",382239.21
76273.67,7.88,4.5,3.39,46974.58,1637260.0,"82387 Hensley Bypass
Danielmouth, ME 30791",482967.55
67561.94,5.25,7.66,4.04,35517.54,1238938.29,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688",306667.89
48904.98,4.84,5.45,3.38,32960.75,201898.09,"2124 Garcia Viaduct
North Kellytown, DC 30864",59733.16
72145.97,6.4,8.26,6.06,28882.9,1439506.1,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708",237542.26
70805.61,4.44,5.81,3.3,29268.83,585608.63,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448",177457.16
65383.34,7.51,6.64,3.46,35114.4,1294685.16,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159",374186.46
95450.29,6.6,6.85,3.33,39388.52,2014851.34,"035 Mark Bridge
West Craig, MT 78649",605060.46
73698.7,6.37,6.58,4.33,51815.1,1840236.01,"69600 Wilson Rue
Elizabethland, PW 17767-2884",424996.77
66263.91,6.37,6.74,4.41,49829.95,1441421.91,"001 Steve Plaza
Jessicastad, UT 25190",326853.04
75394.76,6.93,7.83,4.48,22268.08,1498640.55,"238 Anthony Drive
Acostahaven, AS 62753-6637",334517.98
65984.75,6.51,6.32,2.38,21867.48,954746.58,"01818 Wilson Spurs
West Andreaton, SD 69568-7005",401154.03
66477.26,6.98,6.04,2.37,32458.99,1124635.93,"95779 Walton Square
Bakershire, PR 49599",474529.93
69284.26,5.35,7.17,3.45,40282.72,1169944.25,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969",339114.28
70404.5,5.54,6.0,2.02,37127.93,1114430.95,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246",551698.49
74218.49,8.07,6.51,4.37,46770.66,1783534.84,"106 Williams Well Apt. 657
Samanthaview, PR 87811",408131.54
63441.71,6.47,7.06,3.22,48061.75,1302933.25,"Unit 3405 Box 4348
DPO AP 68816-2990",404637.66
57493.92,6.89,6.73,4.41,47039.22,1241483.61,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287",281515.56
81543.78,5.5,5.9,2.14,9816.3,954114.54,"Unit 5889 Box 7282
DPO AE 41177-0399",445847.92
78633.97,5.47,7.53,3.24,43728.8,1555320.5,"075 Andrea Green Suite 201
Johnshire, KS 50389",480037.19
52202.85,4.87,4.41,2.23,42165.81,404976.37,"6811 Spears Trail Suite 081
East Troy, MS 43910",181603.75
67980.39,5.56,6.16,2.44,25909.08,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971",439829.41
78568.45,5.48,6.29,2.29,41016.65,1422195.88,"2276 Riley Flats Suite 975
Johnmouth, NH 39983",621046.24
55472.65,4.82,5.86,3.2,15353.96,340605.21,"91111 Crane Spur
Kathleenmouth, ME 43022-3191",106439.13
67579.23,5.97,7.75,6.32,21762.95,1170959.53,"744 Hill Ports
Mooreside, MH 20945-2825",185278.41
61456.15,6.88,6.42,4.19,30821.41,942838.16,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176",225021.04
60815.39,7.17,7.98,4.11,31233.65,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788",341025.28
51217.18,5.38,8.78,3.41,47089.48,1175504.49,"USS Harrington
FPO AE 12326",344722.72
63027.67,4.86,5.58,2.3,35991.72,608794.25,"246 Michele Lock Suite 093
South Michellemouth, VI 62800",264693.15
62484.86,6.5,7.32,5.13,26882.65,946943.04,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243",184589.29
73923.47,7.01,7.14,6.04,58745.31,1819900.64,"232 Allen Ridge
West Jasonview, CT 93021",301308.05
79737.61,7.32,6.61,2.17,28307.31,1463130.27,"5042 Ricky Road
New Candice, MN 40661-8809",674253.58
63890.47,4.97,7.92,5.49,43416.5,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346",228122.26
67310.04,7.19,7.76,5.28,43310.61,1714445.17,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307",324705.52
73145.73,4.1,7.25,3.18,49463.38,1291759.39,"8533 Sparks Lodge
New Kevin, GA 98179",406213.64
86924.36,6.83,7.74,6.32,28719.41,1809154.29,"922 Mark Lodge
Matthewton, ID 71131-3139",286258.59
74384.11,7.41,5.16,2.3,17117.44,1200539.36,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985",521973.63
67477.79,6.62,7.92,5.1,29763.93,1300265.21,"PSC 8479, Box 0952
APO AA 33741",254953.96
71202.96,4.32,6.63,4.37,34207.4,997448.73,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463",228249.14
85845.32,6.74,9.47,3.46,46477.68,2152959.41,"255 Sosa Pines Suite 751
Wilsonview, MT 31615",622242.6
72138.87,7.16,8.49,5.45,35799.64,1629983.85,"156 Conner Lane
East Brittany, MI 26733",299079.61
44806.01,4.49,4.73,3.1,57390.89,497579.45,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408",160509.5
67504.18,5.33,5.89,4.36,37441.12,890112.55,"67610 Smith Knolls
Brendaberg, MA 55188-7972",204154.25
74706.1,5.0,5.66,2.05,39680.61,1064685.7,"504 Robertson Streets
Jamesshire, WA 56754",519358.88
68898.35,6.79,7.87,6.39,39515.57,1530124.02,"777 Ross Crossroad
Kaiserville, RI 24445",239456.03
58118.02,8.14,5.65,4.36,35598.39,1246246.83,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408",285836.43
77643.28,6.07,5.38,4.45,35512.26,1240754.93,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552",278821.33
67769.83,8.07,6.76,4.22,33254.6,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101",417235.71
74411.06,5.53,7.21,6.44,43537.5,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040",216420.3
73101.08,4.1,8.92,4.35,29497.97,1172385.9,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682",269514.0
58708.42,5.08,6.26,4.07,15969.93,483986.11,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758",118915.51
63876.06,7.08,7.19,3.37,38052.88,1388530.16,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904",412026.75
68343.15,6.39,8.43,6.2,40653.87,1721739.38,"4746 Morgan Forge
Diaztown, VT 79978",277699.9
73064.98,5.99,7.2,6.19,30699.34,1276448.79,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208",206211.44
67367.27,6.77,6.69,2.49,32547.27,1161742.68,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264",466563.33
66547.18,6.35,5.31,2.04,16741.96,786407.95,"249 Susan Canyon
North Jessica, ID 13412",385494.09
73313.55,6.41,8.49,4.46,37809.0,1604920.97,"08091 Bush Course
New Michael, RI 47524-7511",359847.75
47681.36,6.89,7.79,5.13,50908.98,1230149.14,"PSC 6933, Box 3805
APO AP 50576",239795.15
67910.95,6.45,6.68,4.32,31379.78,1051644.55,"6798 Smith Junctions
Wolfeton, WY 86565-5079",243436.24
69277.89,6.14,7.81,5.15,43717.91,1415073.61,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763",274771.57
67946.71,5.4,5.67,3.21,35197.94,1043483.92,"68672 Guzman Ridge
Clinefurt, WI 04078-6179",325072.87
90975.11,4.74,8.32,6.45,44426.21,1544379.75,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593",239438.72
61885.55,5.41,6.91,3.22,48726.95,1352135.97,"USCGC Hess
FPO AE 29193",419918.0
69401.85,7.04,8.1,3.44,29293.07,1505727.43,"0617 Neal Curve
South Daniel, AS 09326",437711.46
72969.12,6.19,8.08,4.2,31755.72,1416965.98,"412 Janet Radial Suite 115
Kariview, NY 37073-8343",337372.85
75582.46,5.51,6.77,4.33,31946.3,1046721.98,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399",241737.18
56241.23,5.62,6.82,2.18,32745.37,939040.0,"3062 Donald Inlet Suite 642
West Matthew, GU 49340",430752.29
79412.84,6.09,7.48,3.26,17568.73,1383031.33,"764 Timothy Turnpike
North Audreymouth, TX 02395",424242.74
79618.24,4.57,6.67,3.49,29636.51,1072503.24,"862 Ryan Flat
West Larryborough, WV 11517",307307.52
67019.07,6.49,7.33,6.26,24997.11,1134397.76,"378 Evans Crest
East Shelbystad, HI 23326",181213.7
56063.48,5.11,5.39,4.14,39129.3,734827.51,"09897 Katherine Forge
North Johnside, NC 01211",177494.57
57077.58,5.78,6.95,4.27,33393.92,991892.32,"2367 Noah Center
North Dakotashire, PA 99619-0890",232293.28
75954.82,4.29,7.42,5.04,34467.76,1057252.58,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647",209772.34
52575.82,7.13,7.17,4.06,41828.58,1237224.86,"8803 Jackson Ramp
South Thomasland, RI 09631-6361",304735.19
63312.81,6.14,8.2,4.41,43230.35,1442632.54,"87629 Shawn Crossing
North William, MN 71601-6188",327127.56
82526.96,6.45,7.75,4.46,43947.68,1877402.32,"2574 Shannon Alley
South Fred, OR 64217",420942.22
73204.94,6.64,7.31,6.4,35090.5,1394518.42,"676 Jose Locks Apt. 415
South Cynthia, SC 89264",217893.5
56357.19,5.71,5.24,3.25,38062.0,953939.33,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160",293519.79
71316.62,7.11,7.09,5.33,21651.7,1219778.03,"26847 Weber Ports Apt. 767
North Robinton, FM 43014",228851.41
75046.85,4.98,8.88,3.0,32468.03,1287325.38,"PSC 8891, Box 6475
APO AP 28726-5123",429108.46
84474.16,6.97,5.94,2.47,38677.82,1739893.56,"623 Jackson Road Apt. 492
Sarahville, NM 19973",704410.35
68162.68,6.96,6.7,3.07,31843.88,1213382.22,"0575 Edward Cliff
Miguelmouth, NY 06408",395238.51
62784.33,7.57,4.65,3.31,35122.39,1007478.75,"6660 Alex Park
Barkerfort, WY 52781",304374.24
67009.82,6.85,7.61,3.22,39737.12,1528756.13,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326",474768.98
67437.25,6.77,6.7,2.05,29356.22,1182459.77,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626",576809.64
65967.77,6.85,7.78,3.14,35799.96,1474546.76,"842 Jackson Parkway
Angelabury, MI 68188-8699",469600.88
42816.31,7.6,7.05,4.18,47457.66,1078016.94,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649",257898.79
83347.67,5.47,5.48,3.14,48226.72,1453381.62,"0647 Ramirez Hill
New Crystalport, AZ 33060",462860.39
81699.88,5.48,6.48,4.41,39527.05,1495012.96,"4233 Chase Fields
East Vanessabury, OR 85375-7861",339005.21
56143.79,4.58,6.67,4.04,45084.04,714148.41,"0606 Ricardo Drive
Williamton, GU 79243",176769.41
59513.83,4.89,5.57,3.18,44162.28,894292.05,"14157 Jones Parkway Suite 319
North Haley, AK 18534",281223.92
78379.41,5.99,5.68,3.2,31357.39,1159841.83,"2579 Pamela Shoals
North Christianhaven, TX 95259",362450.57
70877.38,6.77,7.21,5.07,36033.43,1195986.3,"PSC 5171, Box 6452
APO AA 44610-4655",235894.73
61526.97,6.59,9.18,6.11,27307.95,1381430.63,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067",226093.39
65317.0,7.41,6.73,2.0,55799.5,1534889.85,"32521 Martinez Highway
Stephaniehaven, NY 78577",767444.92
76268.82,6.94,6.15,3.17,38649.85,1494125.33,"9109 Omar View Suite 461
East Sarahfort, WI 02969",471332.91
48531.36,6.86,8.52,5.3,39731.15,1356146.26,"5611 Chandler Mill
East Brianfort, AK 51236-0093",255876.65
82906.65,5.9,5.77,4.26,38820.48,1454943.07,"PSC 5599, Box 5942
APO AP 55563-1953",341535.93
63117.84,4.94,5.64,2.31,43091.85,774118.19,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338",335116.1
75860.86,3.69,4.79,3.48,41003.88,889113.24,"019 Moore Center Apt. 643
West John, KY 54923",255492.31
68844.76,4.86,6.92,3.29,48392.5,1211102.21,"Unit 3192 Box 6415
DPO AP 76779-7624",368116.17
52446.27,5.69,7.43,3.11,32934.55,658646.18,"20185 Mary Crest
South Reneeville, VI 91892",211783.34
69342.71,5.8,7.81,3.36,37082.37,1400104.87,"18067 Williams Roads Suite 683
South Christineton, CO 76227",416697.88
55932.05,7.22,6.02,4.0,42488.31,1262017.79,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132",315504.45
53306.92,4.63,6.19,2.15,39063.34,553077.21,"9643 Oscar Valley
North Richardstad, ME 14629-9980",257245.21
56976.55,6.06,7.26,3.08,46375.5,1203247.89,"46619 Morgan Squares
Stevenfurt, FM 70548",390664.9
51296.49,6.16,7.83,6.18,32078.91,1115323.01,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414",180472.98
63995.0,7.6,7.09,5.25,24748.27,1301881.42,"USCGC Friedman
FPO AE 57606-0743",247977.41
71915.15,6.28,5.52,4.47,27714.29,1006687.39,"038 Anderson Club Suite 485
Richardsonfort, MA 22267",225209.71
62137.6,5.44,7.24,5.21,19045.62,749383.07,"014 Shaun Gardens
Lake Todd, HI 08110",143835.52
78050.97,5.23,6.29,4.15,27789.75,1075596.59,"2606 Stout Inlet
Port Brenda, SC 59596-5906",259179.9
67371.42,5.33,6.62,4.37,24797.76,739870.79,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902",169306.82
59362.77,7.48,8.0,3.49,44723.35,1442945.14,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228",413451.33
57003.11,7.01,6.36,3.14,29594.69,828497.07,"089 Jessica Dale
West Melissa, PW 59364",263852.57
68989.31,6.08,7.88,6.37,32629.6,1373290.86,"USNS Hamilton
FPO AA 90003",215587.26
70969.9,4.9,6.4,3.18,24833.65,925566.33,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795",291058.59
82251.65,7.74,7.64,6.49,18408.8,1552536.76,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868",239219.84
71306.46,5.77,6.69,2.04,43284.4,1335904.5,"3890 Hunt Trail
Davidhaven, OR 04793",654855.15
70921.57,5.67,6.38,3.28,29390.22,960808.29,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814",292929.36
70739.46,6.71,7.17,6.28,35148.67,1405933.02,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433",223874.68
58097.84,6.39,6.14,3.04,19903.0,619087.69,"31995 Moore Brook
New Melissa, MO 19787",203647.27
51273.51,7.03,6.89,2.09,53811.89,1329273.23,"Unit 5683 Box 5483
DPO AA 78774-2982",636015.9
76326.59,5.02,4.94,3.44,42779.83,1261843.84,"77194 Carlson Causeway Apt. 904
West John, KY 70976",366815.07
63584.05,5.83,6.03,4.29,46340.19,1175781.42,"73601 Donaldson Squares
Port John, VI 73473",274074.92
86340.29,4.93,6.18,3.01,35630.56,1437053.56,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033",477426.43
79471.24,5.87,8.2,6.21,36616.17,1594415.23,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442",256749.63
55879.5,6.41,5.37,2.07,37360.06,931358.0,"54993 James Place Suite 797
South Kenneth, CA 86457-1211",449931.4
40503.54,6.88,6.57,3.14,45979.48,798639.65,"6799 Downs Plaza
Randallberg, NH 17910-5241",254343.84
83394.41,5.6,5.91,2.08,30487.52,1451739.62,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110",697951.74
64501.23,6.0,7.29,5.33,43869.31,1278991.69,"8173 Rush Wells
New Stephanie, MS 56356",239960.92
59569.54,6.28,7.33,4.24,31294.65,885920.55,"762 Corey Landing Suite 528
Billymouth, AZ 48958",208943.53
69280.32,6.86,6.92,4.33,40290.91,1425632.54,"077 Laura Curve
New Christopherview, AZ 15138",329245.39
66342.49,5.86,6.95,3.06,11792.82,901881.74,"5342 Dean Overpass
Matthewville, MI 08613",294732.59
73367.05,6.17,9.05,5.25,23684.79,1521730.79,"469 William Shore Suite 726
South Krystalchester, MP 47720",289853.48
57122.22,5.71,5.93,2.4,41972.77,716771.01,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285",298654.59
61978.85,7.91,8.44,5.37,56957.19,1696717.11,"017 Bowers Field
Williamsstad, OK 15934-8122",315962.22
54299.97,6.64,6.85,2.49,39512.66,819598.01,"05946 Wong Spur
Susanshire, NY 67746-2473",329155.83
71424.41,5.6,8.52,3.49,37242.56,1584213.96,"9297 Cole Highway
Patrickhaven, DC 02945-8988",453929.5
57353.15,8.08,5.68,4.44,16906.42,798892.52,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496",179930.75
44731.11,4.19,8.94,5.12,39633.47,601973.0,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214",117572.85
76175.49,4.52,9.52,4.28,30760.99,1456486.29,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191",340300.54
